ID,region,tenure,age,marital,address,income,ed,retire,gender,voice,internet,forward,custcat,churn,CLV
256,Zone 2,37,53,Married,16,35,Did not complete high school,No,Female,No,No,Yes,Plus service,No,307.0420348383342
257,Zone 2,28,57,Unmarried,33,82,College degree,No,Female,Yes,Yes,Yes,E-service,Yes,290.0287840454383
258,Zone 3,40,63,Married,9,61,Did not complete high school,No,Male,No,No,No,Basic service,No,301.3951249233815
259,Zone 2,37,33,Unmarried,1,102,High school degree,No,Male,No,Yes,No,Total service,No,245.8748777486436
260,Zone 3,7,27,Unmarried,5,31,Some college,No,Male,Yes,Yes,Yes,Total service,Yes,200.26757438434606
261,Zone 1,71,56,Unmarried,23,170,Did not complete high school,No,Female,Yes,No,Yes,Total service,No,307.5813280783636
262,Zone 2,19,46,Unmarried,11,26,High school degree,No,Female,No,Yes,No,Basic service,No,211.47357499370565
263,Zone 2,61,40,Unmarried,15,85,Some college,No,Female,No,No,Yes,Plus service,No,290.58202693226036
264,Zone 3,70,53,Married,16,183,High school degree,No,Female,No,No,No,E-service,No,310.44801046020245
265,Zone 2,60,55,Married,13,67,Did not complete high school,No,Female,No,No,No,Basic service,No,295.9454743598461
266,Zone 3,48,45,Married,5,42,Did not complete high school,No,Female,No,No,No,Basic service,No,278.8642499909862
267,Zone 1,8,63,Married,1,31,Did not complete high school,No,Male,No,No,Yes,Plus service,No,305.40534862087725
268,Zone 2,58,58,Married,10,96,High school degree,No,Male,No,No,No,Plus service,No,308.42677616271527
269,Zone 1,16,24,Married,5,24,Some college,No,Male,No,No,Yes,Plus service,No,275.5312181975396
270,Zone 2,33,33,Unmarried,4,53,High school degree,No,Female,No,No,No,Basic service,No,217.81262244508727
271,Zone 2,39,25,Unmarried,4,18,Did not complete high school,No,Female,No,No,No,Plus service,No,260.24305564014486
272,Zone 1,62,51,Unmarried,10,43,College degree,No,Male,No,Yes,No,E-service,No,273.912397439642
273,Zone 1,50,34,Unmarried,10,104,Some college,No,Male,Yes,Yes,Yes,Total service,No,235.73563456347506
274,Zone 2,48,55,Unmarried,31,26,Did not complete high school,No,Male,No,No,No,Basic service,No,301.7998236907284
275,Zone 3,31,62,Unmarried,5,56,High school degree,No,Female,Yes,No,Yes,Plus service,No,290.81032599499326
276,Zone 2,65,33,Married,9,49,High school degree,No,Male,No,No,Yes,E-service,No,294.73484087085916
277,Zone 1,36,58,Unmarried,34,80,Did not complete high school,No,Female,No,No,No,E-service,No,311.18722935440775
278,Zone 1,61,46,Unmarried,5,318,Some college,No,Female,Yes,No,Yes,Plus service,No,282.8510454224705
279,Zone 2,48,42,Unmarried,21,35,College degree,No,Male,No,No,Yes,Plus service,No,291.43355565562155
280,Zone 3,35,45,Unmarried,17,29,Did not complete high school,No,Male,No,No,Yes,Basic service,No,274.38730720098783
281,Zone 1,51,28,Unmarried,8,43,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,No,186.4332285289131
282,Zone 2,49,51,Married,5,80,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,Yes,257.44156452495014
283,Zone 1,35,39,Married,11,30,Some college,No,Female,No,No,Yes,Plus service,Yes,297.33461703514575
284,Zone 1,58,70,Unmarried,2,9,Some college,Yes,Female,No,Yes,No,E-service,No,290.8296598880038
285,Zone 1,23,35,Married,0,23,High school degree,No,Male,No,No,Yes,Plus service,No,282.8708095668373
286,Zone 2,26,39,Married,15,58,College degree,No,Female,No,Yes,Yes,Plus service,No,265.00642292477727
287,Zone 1,38,37,Married,1,52,Did not complete high school,No,Female,Yes,No,Yes,Total service,No,282.65823940709816
288,Zone 1,35,66,Married,44,14,Some college,Yes,Female,No,No,Yes,Plus service,No,311.7174595206982
289,Zone 2,37,50,Unmarried,9,110,High school degree,No,Female,No,No,Yes,Plus service,No,294.54243062420886
290,Zone 2,48,43,Married,1,60,High school degree,No,Male,No,No,No,E-service,No,299.05714180721145
291,Zone 3,13,43,Married,1,123,Some college,No,Male,No,Yes,Yes,Total service,No,281.0527868540103
292,Zone 1,72,63,Married,29,15,Post-undergraduate degree,Yes,Male,No,No,Yes,Plus service,No,310.39194093067726
293,Zone 1,30,27,Unmarried,4,47,College degree,No,Female,No,Yes,No,E-service,Yes,208.37490636270655
294,Zone 1,24,43,Unmarried,14,138,College degree,No,Female,No,Yes,No,Plus service,No,266.96031022856147
295,Zone 2,25,51,Married,20,359,Some college,No,Male,Yes,No,Yes,Total service,No,309.34057854525315
296,Zone 2,50,52,Unmarried,30,214,Some college,No,Male,Yes,Yes,Yes,Total service,No,298.52309023982053
297,Zone 2,28,40,Unmarried,7,64,Did not complete high school,No,Male,No,No,No,Plus service,No,290.0556077640433
298,Zone 3,34,51,Unmarried,8,50,College degree,No,Male,Yes,No,No,Basic service,No,231.87516436403413
299,Zone 1,48,32,Unmarried,2,88,Some college,No,Male,Yes,Yes,Yes,Total service,No,205.36681986086717
300,Zone 2,42,36,Married,8,86,High school degree,No,Female,No,No,No,E-service,No,300.0527208215021
301,Zone 3,67,65,Married,30,17,Did not complete high school,Yes,Female,No,No,Yes,Plus service,No,311.39225097513275
302,Zone 1,17,41,Married,7,25,High school degree,No,Male,No,Yes,Yes,Plus service,No,271.80059229617837
303,Zone 1,29,38,Married,19,46,High school degree,No,Male,No,No,No,E-service,No,307.7168774829384
304,Zone 3,66,61,Unmarried,26,361,Did not complete high school,No,Female,No,No,No,E-service,No,311.43592537885326
305,Zone 2,1,21,Unmarried,1,18,Some college,No,Female,No,Yes,No,Basic service,Yes,110.86337700871184
306,Zone 1,28,33,Married,3,14,College degree,No,Male,No,Yes,Yes,Total service,Yes,245.8966186818429
307,Zone 1,15,35,Married,5,34,Some college,No,Male,No,Yes,No,E-service,Yes,273.01807545016595
308,Zone 2,12,64,Unmarried,13,9,High school degree,Yes,Female,No,Yes,Yes,Plus service,No,287.1921826990493
309,Zone 3,48,49,Unmarried,18,39,High school degree,No,Female,Yes,No,Yes,Total service,Yes,299.59487633928455
310,Zone 2,59,25,Married,4,18,Some college,No,Male,No,No,No,Basic service,No,228.59422517414285
311,Zone 3,8,26,Married,1,25,College degree,No,Male,No,Yes,No,Basic service,Yes,153.20624753588766
312,Zone 1,45,52,Unmarried,15,46,Post-undergraduate degree,No,Female,No,No,No,E-service,Yes,301.0312868732151
313,Zone 1,25,39,Married,8,94,College degree,No,Female,No,No,No,E-service,Yes,297.9408274336304
314,Zone 1,21,44,Married,4,26,Some college,No,Male,Yes,Yes,Yes,Total service,No,260.5023319632367
315,Zone 2,17,68,Married,1,335,Did not complete high school,No,Female,Yes,No,Yes,Total service,No,307.91550201216177
316,Zone 2,41,45,Unmarried,14,25,Some college,No,Male,No,Yes,Yes,Basic service,Yes,204.25694305339817
317,Zone 1,13,45,Married,3,99,Some college,No,Female,Yes,Yes,Yes,Plus service,Yes,247.32837502923488
318,Zone 2,1,26,Married,3,30,High school degree,No,Female,No,No,No,Basic service,Yes,228.50145373267463
319,Zone 3,3,31,Married,4,35,High school degree,No,Female,Yes,Yes,Yes,Total service,Yes,238.69835313831277
320,Zone 1,23,27,Married,2,51,Post-undergraduate degree,No,Female,Yes,No,No,Basic service,Yes,178.32330164150852
321,Zone 3,26,42,Unmarried,20,49,Some college,No,Male,Yes,Yes,Yes,Total service,Yes,272.18318000125754
322,Zone 1,37,51,Married,15,54,Did not complete high school,No,Male,No,No,No,Plus service,No,308.9093766834929
323,Zone 3,5,30,Unmarried,3,46,College degree,No,Male,No,Yes,No,E-service,Yes,219.6711634206992
324,Zone 1,32,27,Married,3,91,College degree,No,Female,Yes,Yes,No,Total service,Yes,220.9738636645929
325,Zone 3,12,22,Unmarried,1,23,College degree,No,Male,No,No,Yes,Basic service,No,151.99315712893434
326,Zone 1,72,54,Married,6,345,Did not complete high school,No,Male,No,No,No,Plus service,No,309.5285654949202
327,Zone 3,3,25,Married,2,45,College degree,No,Female,No,Yes,No,Basic service,Yes,152.0864342933112
328,Zone 1,54,43,Unmarried,12,53,High school degree,No,Male,No,No,Yes,Plus service,No,293.7567492613282
329,Zone 2,26,26,Unmarried,2,14,High school degree,No,Female,No,Yes,Yes,Total service,Yes,207.5611332757836
330,Zone 3,14,36,Unmarried,13,67,Post-undergraduate degree,No,Female,No,Yes,No,Basic service,No,181.47540275773136
331,Zone 3,22,51,Unmarried,27,49,Some college,No,Male,No,No,Yes,Basic service,No,293.08050938767695
332,Zone 3,65,47,Married,18,37,Did not complete high school,No,Female,No,No,No,Basic service,No,297.157182466069
333,Zone 3,26,45,Unmarried,18,33,Did not complete high school,No,Male,No,No,No,Basic service,No,283.9433663812782
334,Zone 1,20,37,Unmarried,5,46,Some college,No,Female,Yes,Yes,Yes,Total service,No,218.68333127092035
335,Zone 2,67,60,Married,32,93,Did not complete high school,No,Male,No,No,No,E-service,No,311.6063472406067
336,Zone 1,34,55,Unmarried,2,48,High school degree,No,Male,No,No,No,Basic service,No,265.51111262945045
337,Zone 1,37,54,Married,35,183,High school degree,No,Male,No,No,No,Plus service,No,311.57629666873214
338,Zone 2,22,23,Married,3,16,Did not complete high school,No,Male,No,No,No,Basic service,No,227.95235348930728
339,Zone 2,5,69,Unmarried,0,11,High school degree,Yes,Male,No,No,No,Basic service,No,276.63021218080064
340,Zone 1,28,31,Married,0,42,College degree,No,Female,No,No,No,Plus service,No,271.8491997240564
341,Zone 1,20,41,Married,7,67,College degree,No,Female,No,No,No,Basic service,No,258.773459455153
342,Zone 3,72,41,Unmarried,20,181,College degree,No,Male,Yes,Yes,No,Total service,No,275.53108076469596
343,Zone 2,30,43,Unmarried,18,53,College degree,No,Male,No,Yes,No,Basic service,No,209.49691497220616
344,Zone 3,71,52,Unmarried,17,172,High school degree,No,Male,Yes,Yes,Yes,Total service,No,287.82964350956587
345,Zone 2,56,44,Unmarried,24,87,High school degree,No,Male,No,No,Yes,Plus service,No,303.24407839935725
346,Zone 1,8,29,Married,2,21,Post-undergraduate degree,No,Male,No,No,No,Basic service,Yes,217.32893449805982
347,Zone 2,32,65,Unmarried,6,9,High school degree,Yes,Female,No,Yes,No,E-service,No,289.48064272069155
348,Zone 2,46,47,Unmarried,22,144,Some college,No,Female,No,No,Yes,Plus service,Yes,303.2021915423591
349,Zone 3,60,45,Married,23,117,College degree,No,Male,Yes,Yes,Yes,Total service,No,290.4895498709651
350,Zone 2,42,32,Married,0,59,College degree,No,Female,Yes,Yes,Yes,Total service,No,198.37737234495475
351,Zone 3,71,60,Married,39,508,College degree,No,Male,Yes,No,Yes,Total service,No,311.6867966353228
352,Zone 2,72,63,Married,40,222,High school degree,Yes,Female,No,No,Yes,Plus service,No,311.705150066691
353,Zone 3,45,66,Unmarried,11,87,Some college,Yes,Female,No,No,No,Basic service,No,293.87816762238174
354,Zone 3,5,31,Unmarried,4,34,Did not complete high school,No,Male,Yes,No,Yes,Plus service,Yes,248.061203840816
355,Zone 2,17,38,Married,19,18,College degree,No,Female,No,No,No,E-service,No,302.0972886629438
356,Zone 2,70,55,Unmarried,12,65,Some college,No,Male,Yes,No,Yes,Plus service,No,289.19810811736335
357,Zone 3,57,57,Married,19,130,Some college,No,Female,No,Yes,No,E-service,No,307.0680706685467
358,Zone 1,20,33,Unmarried,13,44,Some college,No,Female,No,No,Yes,E-service,No,286.5481730951667
359,Zone 1,72,52,Married,21,63,Did not complete high school,No,Male,No,No,Yes,Plus service,No,309.43953305145885
360,Zone 3,32,50,Unmarried,28,57,College degree,No,Male,No,No,Yes,Plus service,No,305.1784316218974
361,Zone 3,22,57,Married,7,264,Did not complete high school,No,Female,No,No,Yes,Plus service,No,308.5979624604422
362,Zone 2,6,24,Unmarried,2,28,Did not complete high school,No,Male,No,No,Yes,Plus service,Yes,246.03044491416313
363,Zone 3,32,23,Married,2,26,Some college,No,Female,Yes,Yes,Yes,Total service,No,210.6782571878534
364,Zone 1,38,33,Unmarried,3,38,College degree,No,Male,No,Yes,No,E-service,No,222.41696621868866
365,Zone 1,53,35,Unmarried,15,59,Some college,No,Female,No,No,Yes,Plus service,No,287.50400647503693
366,Zone 3,37,76,Unmarried,38,117,College degree,No,Female,No,No,No,Basic service,No,309.5486374873466
367,Zone 1,47,35,Married,13,70,College degree,No,Female,Yes,Yes,No,Total service,Yes,261.7655115633288
368,Zone 3,69,59,Unmarried,37,104,High school degree,No,Male,Yes,No,Yes,Plus service,No,309.7449285487621
369,Zone 3,63,56,Unmarried,17,71,Some college,No,Female,No,No,No,Basic service,No,290.77482258070717
370,Zone 1,61,34,Married,0,70,Some college,No,Female,Yes,Yes,Yes,Total service,Yes,231.10209237655383
371,Zone 1,56,38,Married,8,56,College degree,No,Male,No,Yes,No,Total service,No,277.8963530547679
372,Zone 3,40,57,Married,18,68,Did not complete high school,No,Male,No,No,No,Plus service,No,310.515471250866
373,Zone 2,61,45,Unmarried,21,80,High school degree,No,Female,No,No,No,E-service,No,305.5031327843898
374,Zone 2,16,26,Unmarried,7,21,College degree,No,Male,Yes,Yes,Yes,Total service,No,170.44617722347323
375,Zone 2,7,43,Unmarried,4,69,Some college,No,Female,No,No,No,Basic service,No,238.71167726476298
376,Zone 3,20,31,Married,10,39,High school degree,No,Female,No,No,No,Basic service,No,265.27352968215257
377,Zone 2,35,38,Unmarried,7,90,High school degree,No,Male,No,Yes,No,E-service,No,261.1351227036181
378,Zone 1,60,37,Married,12,64,Post-undergraduate degree,No,Female,No,No,No,E-service,No,298.5170142645716
379,Zone 2,47,25,Unmarried,2,28,High school degree,No,Male,Yes,No,Yes,Total service,No,234.26012661890974
380,Zone 2,33,28,Married,3,24,High school degree,No,Female,No,No,No,Basic service,No,232.36328160877773
381,Zone 3,12,34,Unmarried,2,44,High school degree,No,Male,No,No,No,Basic service,No,227.15479364981172
382,Zone 1,10,31,Unmarried,0,32,College degree,No,Female,No,Yes,No,E-service,Yes,203.8240900532017
383,Zone 2,69,33,Married,9,52,College degree,No,Female,No,No,Yes,Plus service,No,278.8609363250151
384,Zone 1,23,20,Unmarried,1,15,Some college,No,Female,No,No,No,E-service,No,251.5007165953982
385,Zone 1,53,31,Unmarried,10,46,Some college,No,Male,No,Yes,No,E-service,No,255.24595059420253
386,Zone 2,60,57,Married,14,107,High school degree,No,Female,No,No,Yes,Plus service,No,307.75177580063007
387,Zone 2,33,33,Unmarried,7,56,High school degree,No,Male,No,No,No,Basic service,No,230.6728226373701
388,Zone 3,67,40,Married,21,40,College degree,No,Female,Yes,Yes,Yes,Total service,No,276.28755400196883
389,Zone 3,15,38,Married,5,56,Some college,No,Male,No,No,Yes,Plus service,No,293.8279723200866
390,Zone 3,64,31,Married,5,46,High school degree,No,Female,Yes,Yes,Yes,E-service,No,233.83871045699016
391,Zone 2,46,49,Married,13,51,High school degree,No,Male,No,No,No,Basic service,Yes,290.1608524018239
392,Zone 2,72,60,Married,33,12,Did not complete high school,Yes,Male,Yes,No,Yes,Total service,No,310.9412363574994
393,Zone 1,61,43,Married,6,34,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,Yes,246.74878917748742
394,Zone 3,54,27,Unmarried,3,27,High school degree,No,Female,Yes,Yes,No,Total service,No,207.7885217730351
395,Zone 3,28,36,Unmarried,3,42,Some college,No,Female,No,Yes,Yes,Plus service,No,224.7148611177977
396,Zone 2,28,38,Unmarried,8,119,Post-undergraduate degree,No,Male,Yes,Yes,No,Total service,Yes,226.34408498211468
397,Zone 2,32,43,Unmarried,13,146,Did not complete high school,No,Female,No,No,Yes,Plus service,No,295.7137751505008
398,Zone 2,52,46,Unmarried,17,51,High school degree,No,Female,No,No,No,E-service,No,303.31436925484763
399,Zone 1,48,62,Unmarried,33,86,Did not complete high school,Yes,Female,Yes,No,Yes,Plus service,No,309.1970513019626
400,Zone 3,52,42,Married,17,27,Some college,No,Female,No,Yes,Yes,Plus service,No,287.5354384439454
401,Zone 1,37,43,Unmarried,8,38,Some college,No,Male,No,No,No,E-service,No,296.2549977198649
402,Zone 1,41,52,Unmarried,26,928,Some college,No,Male,Yes,No,Yes,Plus service,No,310.8658351516875
403,Zone 2,43,27,Married,3,21,High school degree,No,Female,No,No,No,E-service,No,284.7627067991585
404,Zone 3,67,60,Unmarried,24,24,Did not complete high school,No,Female,Yes,No,Yes,Plus service,No,305.1608545602974
405,Zone 3,61,52,Married,30,91,Did not complete high school,No,Female,No,No,No,Basic service,No,307.53072638487544
406,Zone 3,70,39,Married,20,38,High school degree,No,Female,No,No,No,Plus service,No,307.06551984152924
407,Zone 3,44,32,Married,1,96,College degree,No,Female,Yes,Yes,Yes,Total service,No,216.32561292212694
408,Zone 3,46,45,Unmarried,12,96,Some college,No,Male,No,Yes,No,E-service,No,284.84919440770085
409,Zone 3,39,34,Unmarried,2,54,Some college,No,Male,No,No,No,Basic service,No,225.09498399684375
410,Zone 2,39,59,Unmarried,20,1668,College degree,No,Female,Yes,Yes,No,E-service,No,311.1527531265298
411,Zone 2,50,29,Married,10,53,College degree,No,Female,Yes,No,Yes,Total service,No,268.16367720216476
412,Zone 3,5,31,Unmarried,1,21,Some college,No,Female,No,No,No,Basic service,Yes,207.80759701145666
413,Zone 2,10,34,Unmarried,1,52,Post-undergraduate degree,No,Female,No,Yes,No,E-service,Yes,206.61878893271614
414,Zone 1,72,69,Unmarried,45,17,Some college,Yes,Female,No,No,No,E-service,No,311.7281715065234
415,Zone 2,68,60,Unmarried,40,262,High school degree,No,Female,No,No,Yes,Plus service,No,311.3004379580341
416,Zone 3,58,28,Unmarried,5,34,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service,No,180.27642847883806
417,Zone 3,18,44,Married,10,107,Did not complete high school,No,Female,No,No,No,Basic service,No,288.3217360923651
418,Zone 1,65,45,Married,25,67,Post-undergraduate degree,No,Female,No,No,No,Plus service,No,307.4816391469623
419,Zone 3,8,45,Unmarried,1,37,College degree,No,Male,No,Yes,No,E-service,Yes,245.78181944347708
420,Zone 2,1,20,Unmarried,1,21,High school degree,No,Female,Yes,No,No,Basic service,Yes,137.4179184078306
421,Zone 3,42,58,Unmarried,7,22,Did not complete high school,No,Female,No,No,No,E-service,No,304.95578870681595
422,Zone 1,4,25,Married,3,71,Some college,No,Female,Yes,Yes,No,Basic service,No,141.74177134959473
423,Zone 3,17,35,Unmarried,4,77,Some college,No,Female,No,No,Yes,Plus service,No,272.6048983650968
424,Zone 2,8,24,Married,1,18,College degree,No,Female,Yes,Yes,Yes,Total service,Yes,176.70864967667998
425,Zone 1,49,37,Married,17,50,High school degree,No,Female,No,No,No,E-service,No,306.3105030154502
426,Zone 1,56,46,Married,21,33,College degree,No,Male,No,Yes,No,E-service,No,297.4604061013706
427,Zone 1,62,57,Married,21,94,Did not complete high school,No,Male,No,No,Yes,Total service,No,310.9697693917516
428,Zone 2,42,57,Married,25,209,Did not complete high school,No,Female,No,No,No,Basic service,No,307.29065383727976
429,Zone 1,13,32,Unmarried,7,31,College degree,No,Male,Yes,No,Yes,Plus service,No,231.11669204406257
430,Zone 1,69,46,Married,18,66,High school degree,No,Male,No,No,No,E-service,No,309.2556424489845
431,Zone 2,45,59,Unmarried,14,51,Did not complete high school,No,Male,No,No,No,Basic service,No,289.33308630226054
432,Zone 2,66,42,Married,18,118,High school degree,No,Male,No,No,No,E-service,No,308.36053871360383
433,Zone 2,15,35,Unmarried,10,25,High school degree,No,Male,No,Yes,No,Basic service,Yes,184.47891774605964
434,Zone 1,41,44,Married,1,59,Some college,No,Female,Yes,Yes,No,E-service,No,256.8769727431909
435,Zone 2,11,20,Unmarried,1,20,High school degree,No,Female,Yes,Yes,Yes,Total service,Yes,155.38024525960017
436,Zone 3,45,30,Married,0,63,Post-undergraduate degree,No,Male,Yes,Yes,Yes,Total service,Yes,206.22421265272447
437,Zone 1,52,62,Unmarried,23,36,College degree,No,Male,No,No,No,Basic service,No,294.309401181119
438,Zone 1,42,56,Unmarried,24,72,College degree,No,Female,Yes,Yes,Yes,Total service,No,283.61069563268063
439,Zone 2,48,35,Unmarried,11,50,Did not complete high school,No,Male,Yes,No,No,Plus service,No,274.01506362923067
440,Zone 3,4,31,Unmarried,5,39,High school degree,No,Male,Yes,Yes,Yes,Total service,Yes,214.1799434265967
441,Zone 3,53,64,Married,10,54,High school degree,No,Female,Yes,Yes,Yes,Total service,No,296.64280040274554
442,Zone 3,1,59,Unmarried,4,9,Did not complete high school,Yes,Male,No,No,Yes,Plus service,No,299.24693171541264
443,Zone 3,19,30,Married,10,33,College degree,No,Male,Yes,Yes,Yes,Total service,No,235.82043820962292
444,Zone 2,33,30,Unmarried,11,28,Did not complete high school,No,Male,No,No,Yes,Basic service,No,223.25270754229936
445,Zone 3,42,36,Married,14,44,High school degree,No,Male,No,No,Yes,Plus service,No,300.99664132778247
446,Zone 1,60,32,Unmarried,12,34,College degree,No,Female,No,No,No,E-service,No,280.8337867427256
447,Zone 2,57,51,Married,7,68,College degree,No,Female,No,No,Yes,Plus service,No,295.21784202785875
448,Zone 1,64,39,Unmarried,5,37,Did not complete high school,No,Male,No,No,No,Basic service,No,246.06112244844388
449,Zone 2,28,20,Married,1,18,Some college,No,Male,Yes,Yes,No,Total service,No,207.16712286055414
450,Zone 1,29,35,Married,10,55,High school degree,No,Male,No,No,Yes,Plus service,Yes,296.40280863423067
451,Zone 1,46,31,Married,12,21,Did not complete high school,No,Male,No,No,Yes,Plus service,No,295.5980888085963
452,Zone 1,22,41,Married,9,29,Some college,No,Male,No,No,No,Basic service,Yes,275.77105435546633
453,Zone 2,10,56,Unmarried,26,9,High school degree,Yes,Male,No,No,No,Basic service,No,297.40218495923364
454,Zone 3,50,41,Unmarried,16,138,High school degree,No,Female,No,No,No,E-service,Yes,304.1241106333768
455,Zone 1,55,65,Unmarried,34,28,College degree,Yes,Female,Yes,No,Yes,Total service,No,308.9817532899068
456,Zone 2,15,54,Unmarried,7,62,Did not complete high school,No,Male,No,No,No,Basic service,No,272.9782926746189
457,Zone 1,31,32,Married,13,37,Some college,No,Female,Yes,Yes,Yes,Total service,No,258.0637215130024
458,Zone 3,5,44,Unmarried,5,83,Did not complete high school,No,Female,No,No,No,E-service,Yes,297.6745109700932
459,Zone 2,69,63,Unmarried,28,168,Did not complete high school,No,Female,No,No,Yes,Plus service,No,310.2398815209681
460,Zone 2,26,27,Married,4,33,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,200.0956278061385
461,Zone 3,10,33,Married,2,66,Some college,No,Female,No,Yes,Yes,Basic service,Yes,181.18797938520066
462,Zone 1,26,30,Unmarried,9,18,College degree,No,Male,Yes,No,Yes,Total service,Yes,248.6271794859704
463,Zone 3,25,30,Unmarried,0,20,Did not complete high school,No,Female,No,No,No,Plus service,No,267.3650095344731
464,Zone 3,30,23,Married,4,19,Some college,No,Male,No,Yes,No,E-service,No,252.36476809933694
465,Zone 1,21,39,Married,7,25,High school degree,No,Male,No,No,Yes,Plus service,No,295.5182747712606
466,Zone 1,71,46,Unmarried,27,119,Post-undergraduate degree,No,Female,Yes,Yes,Yes,Total service,No,277.2597799190922
467,Zone 3,11,48,Married,5,323,College degree,No,Male,No,Yes,Yes,Plus service,Yes,283.47553618011307
468,Zone 1,24,30,Married,7,45,Did not complete high school,No,Female,No,No,Yes,Basic service,No,246.50671138062796
469,Zone 1,65,59,Married,27,197,College degree,No,Male,No,No,No,E-service,No,311.23404900627355
470,Zone 1,16,34,Married,13,56,Some college,No,Female,No,No,No,Basic service,Yes,272.64670877737535
471,Zone 3,37,51,Married,26,24,College degree,No,Male,No,No,No,E-service,No,310.0289469229667
472,Zone 1,5,30,Unmarried,4,25,Some college,No,Male,No,No,Yes,Plus service,Yes,261.42705088372566
473,Zone 1,3,55,Married,9,26,Post-undergraduate degree,No,Female,Yes,Yes,No,E-service,Yes,273.89028426049276
474,Zone 1,5,32,Unmarried,6,33,College degree,No,Male,No,Yes,No,Basic service,Yes,146.5829257030934
475,Zone 1,60,44,Married,4,150,High school degree,No,Male,Yes,No,Yes,Total service,No,296.65350568603003
476,Zone 2,19,37,Married,4,99,High school degree,No,Female,No,Yes,No,E-service,Yes,273.37840725095197
477,Zone 3,54,40,Unmarried,19,50,College degree,No,Female,Yes,Yes,Yes,Total service,No,249.90751314664618
478,Zone 2,25,41,Unmarried,3,81,Some college,No,Female,No,No,Yes,Plus service,No,273.2091637742824
479,Zone 2,1,36,Unmarried,6,21,Did not complete high school,No,Male,No,No,No,E-service,Yes,287.2668738559801
480,Zone 3,54,68,Unmarried,7,273,Some college,No,Female,No,Yes,No,Basic service,No,271.7610498613202
481,Zone 1,14,31,Married,9,39,Some college,No,Female,No,No,No,Basic service,No,258.32128742168254
482,Zone 3,14,28,Married,7,17,High school degree,No,Male,No,No,No,Basic service,Yes,254.46193349929644
483,Zone 2,10,45,Married,8,115,Some college,No,Female,No,Yes,No,E-service,Yes,288.53710783416494
484,Zone 1,7,23,Unmarried,3,27,High school degree,No,Female,No,No,Yes,Basic service,No,179.05512150432824
485,Zone 2,33,45,Unmarried,24,35,Did not complete high school,No,Male,No,No,Yes,Plus service,Yes,303.4888696104748
486,Zone 1,3,23,Unmarried,2,20,High school degree,No,Male,Yes,Yes,No,Basic service,No,101.63591255939069
487,Zone 2,56,58,Married,3,92,Did not complete high school,No,Male,No,No,No,Basic service,No,289.6814615800754
488,Zone 2,54,56,Unmarried,8,207,High school degree,No,Female,No,No,Yes,Plus service,No,300.54081758120464
489,Zone 1,72,55,Married,28,40,Did not complete high school,No,Male,No,No,No,E-service,No,311.32291375768835
490,Zone 1,18,29,Unmarried,4,40,High school degree,No,Male,No,Yes,Yes,Plus service,No,214.57226118734954
491,Zone 3,25,29,Unmarried,9,55,College degree,No,Male,No,No,No,Basic service,Yes,215.35005181382107
492,Zone 1,42,62,Unmarried,26,26,Did not complete high school,Yes,Female,No,No,No,Basic service,No,303.0556574000846
493,Zone 3,4,37,Unmarried,2,41,High school degree,No,Male,No,Yes,No,Basic service,No,175.96502365580227
494,Zone 2,12,50,Married,16,203,College degree,No,Male,No,No,No,Basic service,Yes,291.7504475870114
495,Zone 2,53,64,Married,17,380,High school degree,No,Female,No,No,Yes,Plus service,No,310.924525073653
496,Zone 2,13,38,Married,8,104,College degree,No,Male,Yes,Yes,Yes,Total service,Yes,244.1071094546175
497,Zone 3,18,31,Married,12,24,Some college,No,Male,No,No,No,E-service,No,301.3232415619053
498,Zone 3,67,42,Married,20,81,Some college,No,Female,Yes,No,Yes,Total service,No,304.5606791683735
499,Zone 2,6,24,Unmarried,2,17,Did not complete high school,No,Male,No,No,No,Plus service,No,256.61885169018444
500,Zone 1,25,46,Unmarried,13,45,Did not complete high school,No,Female,Yes,No,Yes,Plus service,No,284.96114691971025
501,Zone 2,15,39,Unmarried,19,32,High school degree,No,Male,Yes,No,No,E-service,Yes,292.3700284625584
502,Zone 3,32,35,Unmarried,12,57,College degree,No,Male,No,No,No,E-service,No,288.65087737599146
503,Zone 2,22,39,Unmarried,0,63,College degree,No,Male,No,Yes,No,E-service,Yes,222.85739120755335
504,Zone 2,8,22,Unmarried,3,25,College degree,No,Male,Yes,No,Yes,Plus service,No,186.53515737102646
505,Zone 1,3,31,Married,4,22,Did not complete high school,No,Male,No,Yes,No,Basic service,Yes,201.5733976732352
506,Zone 2,32,54,Unmarried,6,155,High school degree,No,Male,No,No,No,Basic service,No,274.2640337196085
507,Zone 1,49,54,Unmarried,24,30,High school degree,No,Male,No,No,Yes,E-service,No,308.14765573459516
508,Zone 2,2,28,Unmarried,7,46,Some college,No,Female,No,No,No,Total service,No,280.10763663888815
509,Zone 1,39,47,Unmarried,1,68,College degree,No,Female,No,Yes,No,E-service,Yes,246.29798417812697
510,Zone 1,42,33,Unmarried,2,67,High school degree,No,Male,No,No,No,E-service,No,281.62175257341687
